GraphSize,NumAttacks,Command,NaiveStates,CharFuncStates,NaiveTime(ms),CharFuncTime(ms)
4,2,DC-CO,16,2,0.479666,0.061000
4,2,DS-CO,16,8,0.405542,0.258125
4,2,SE-CO,16,2,0.414417,0.067958
4,2,DC-ST,16,2,0.186667,0.068958
4,2,DS-ST,16,8,0.229584,0.280000
4,2,SE-ST,16,2,0.190791,0.091542
4,4,DC-CO,16,7,0.210000,0.124375
4,4,DS-CO,16,2,0.204541,0.291875
4,4,SE-CO,16,2,0.245958,0.035500
4,4,DC-ST,16,7,0.139708,0.151459
4,4,DS-ST,16,5,0.137208,0.184709
4,4,SE-ST,16,5,0.140541,0.179333
4,7,DC-CO,16,1,0.181625,0.018459
4,7,DS-CO,16,3,0.162250,0.117333
4,7,SE-CO,16,1,0.136000,0.011792
4,7,DC-ST,16,1,0.089166,0.019750
4,7,DS-ST,16,3,0.088292,0.107416
4,7,SE-ST,16,1,0.086958,0.016459
6,6,DC-CO,64,2,1.243250,0.065708
6,6,DS-CO,64,12,1.480458,0.393416
6,6,SE-CO,64,2,1.238708,0.066208
6,6,DC-ST,64,2,0.823375,0.101000
6,6,DS-ST,64,12,0.817625,0.579041
6,6,SE-ST,64,2,0.806125,0.096208
6,12,DC-CO,64,1,0.555625,0.025000
6,12,DS-CO,64,12,0.563125,0.266000
6,12,SE-CO,64,1,0.463875,0.017500
6,12,DC-ST,64,4,0.366833,0.103875
6,12,DS-ST,64,13,0.370208,0.296083
6,12,SE-ST,64,5,0.369208,0.121541
6,18,DC-CO,64,11,0.415208,0.163000
6,18,DS-CO,64,2,0.415292,0.074583
6,18,SE-CO,64,4,0.419167,0.065875
6,18,DC-ST,64,11,0.324458,0.180625
6,18,DS-ST,64,5,0.325333,0.123708
6,18,SE-ST,64,5,0.372667,0.097625
8,11,DC-CO,256,22,2.363667,0.863500
8,11,DS-CO,256,3,2.285084,0.171333
8,11,SE-CO,256,3,2.037125,0.081792
8,11,DC-ST,256,22,1.922167,0.591666
8,11,DS-ST,256,3,2.305708,0.160833
8,11,SE-ST,256,3,2.002333,0.098292
8,22,DC-CO,256,4,1.494625,0.056458
8,22,DS-CO,256,2,1.354542,0.057167
8,22,SE-CO,256,4,1.409041,0.062375
8,22,DC-ST,256,4,1.271917,0.064917
8,22,DS-ST,256,18,1.378583,0.283792
8,22,SE-ST,256,5,1.304375,0.075875
8,33,DC-CO,256,19,1.114125,0.292667
8,33,DS-CO,256,3,1.082042,0.081042
8,33,SE-CO,256,5,1.118583,0.071667
8,33,DC-ST,256,19,0.983167,0.249666
8,33,DS-ST,256,6,0.992375,0.120208
8,33,SE-ST,256,6,1.075917,0.085625
10,18,DC-CO,1024,25,6.110291,0.507000
10,18,DS-CO,1024,3,6.179125,0.084375
10,18,SE-CO,1024,3,5.193792,0.047917
10,18,DC-ST,1024,25,4.670250,0.467625
10,18,DS-ST,1024,7,4.528833,0.270125
10,18,SE-ST,1024,7,4.273625,0.128500
10,36,DC-CO,1024,27,3.410250,0.278500
10,36,DS-CO,1024,3,3.404000,0.068584
10,36,SE-CO,1024,21,3.270000,0.244250
10,36,DC-ST,1024,27,3.141458,0.256250
10,36,DS-ST,1024,22,3.110417,0.278792
10,36,SE-ST,1024,22,3.364875,0.232959
10,54,DC-CO,1024,1,3.331208,0.017958
10,54,DS-CO,1024,3,3.345584,0.054292
10,54,SE-CO,1024,1,3.024708,0.009916
10,54,DC-ST,1024,18,2.921584,0.169792
10,54,DS-ST,1024,14,3.201083,0.186541
10,54,SE-ST,1024,14,3.134708,0.191959
12,26,DC-CO,4096,30,24.637875,0.588375
12,26,DS-CO,4096,2,23.211209,0.060417
12,26,SE-CO,4096,2,23.183583,0.035458
12,26,DC-ST,4096,30,22.694958,0.605458
12,26,DS-ST,4096,27,22.711250,0.578125
12,26,SE-ST,4096,27,22.571875,0.575500
12,52,DC-CO,4096,26,16.043708,0.295041
12,52,DS-CO,4096,2,15.111250,0.044125
12,52,SE-CO,4096,8,15.120791,0.092916
12,52,DC-ST,4096,26,14.859208,0.293583
12,52,DS-ST,4096,26,14.883625,0.304125
12,52,SE-ST,4096,26,14.934083,0.310625
12,79,DC-CO,4096,24,15.487125,0.246708
12,79,DS-CO,4096,2,15.307334,0.044583
12,79,SE-CO,4096,24,14.986458,0.248083
12,79,DC-ST,4096,24,14.924167,0.238167
12,79,DS-ST,4096,25,14.956500,0.265417
12,79,SE-ST,4096,25,14.936083,0.267708
14,36,DC-CO,16384,30,78.925083,0.516333
14,36,DS-CO,16384,2,78.574209,0.059250
14,36,SE-CO,16384,2,77.726583,0.033583
14,36,DC-ST,16384,30,77.560708,0.527291
14,36,DS-ST,16384,27,77.822208,0.551208
14,36,SE-ST,16384,27,78.130209,0.533000
14,72,DC-CO,16384,30,65.574333,0.340500
14,72,DS-CO,16384,2,64.222708,0.051291
14,72,SE-CO,16384,29,64.757250,0.361583
14,72,DC-ST,16384,30,65.545708,0.342750
14,72,DS-ST,16384,30,64.538292,0.377833
14,72,SE-ST,16384,30,64.527208,0.370416
14,109,DC-CO,16384,30,60.668292,0.446292
14,109,DS-CO,16384,2,59.940042,0.044583
14,109,SE-CO,16384,17,59.935292,0.250375
14,109,DC-ST,16384,30,59.703542,0.459834
14,109,DS-ST,16384,18,59.711291,0.288167
14,109,SE-ST,16384,18,59.566958,0.268916
16,48,DC-CO,65536,43,367.354542,0.894875
16,48,DS-CO,65536,3,370.458792,0.097625
16,48,SE-CO,65536,36,365.963000,0.801917
16,48,DC-ST,65536,43,363.865375,0.913583
16,48,DS-ST,65536,37,368.069458,0.840000
16,48,SE-ST,65536,37,367.757792,0.841209
16,96,DC-CO,65536,33,300.768625,0.445125
16,96,DS-CO,65536,2,306.352916,0.058041
16,96,SE-CO,65536,14,343.922375,0.212333
16,96,DC-ST,65536,33,342.121500,0.441458
16,96,DS-ST,65536,33,300.283084,0.498084
16,96,SE-ST,65536,33,299.361000,0.498875
16,144,DC-CO,65536,31,293.687292,0.472042
16,144,DS-CO,65536,2,292.940750,0.060500
16,144,SE-CO,65536,7,293.530042,0.093875
16,144,DC-ST,65536,31,293.042083,0.501250
16,144,DS-ST,65536,8,292.959667,0.130041
16,144,SE-ST,65536,8,293.096583,0.109833
18,61,DC-CO,262144,40,1836.117875,0.775917
18,61,DS-CO,262144,2,1821.336417,0.071291
18,61,SE-CO,262144,37,1822.333625,0.757000
18,61,DC-ST,262144,40,1817.552916,0.782375
18,61,DS-ST,262144,38,1815.907000,0.783417
18,61,SE-ST,262144,38,1821.362750,0.785416
18,122,DC-CO,262144,39,1324.316667,0.550167
18,122,DS-CO,262144,2,1332.681291,0.064709
18,122,SE-CO,262144,36,1323.967875,0.560250
18,122,DC-ST,262144,39,1327.671292,0.556708
18,122,DS-ST,262144,37,1321.193708,0.572375
18,122,SE-ST,262144,37,1322.535125,0.578792
18,183,DC-CO,262144,37,1315.972500,0.537500
18,183,DS-CO,262144,2,1315.928333,0.069708
18,183,SE-CO,262144,36,1316.811708,0.548042
18,183,DC-ST,262144,37,1316.059541,0.534917
18,183,DS-ST,262144,37,1326.862166,0.658625
18,183,SE-ST,262144,37,1343.292917,0.576333
20,76,DC-CO,1048576,45,7906.807792,1.125250
20,76,DS-CO,1048576,3,7910.651417,0.124208
20,76,SE-CO,1048576,42,7965.145917,1.120958
20,76,DC-ST,1048576,45,7864.081000,1.126584
20,76,DS-ST,1048576,43,7883.034375,1.124208
20,76,SE-ST,1048576,43,7885.365458,1.129750
20,152,DC-CO,1048576,43,6352.600916,0.768666
20,152,DS-CO,1048576,3,6374.905292,0.111125
20,152,SE-CO,1048576,40,6356.914875,0.761084
20,152,DC-ST,1048576,43,6339.160250,0.779791
20,152,DS-ST,1048576,41,6378.269334,0.796292
20,152,SE-ST,1048576,41,6336.718334,0.799042
20,228,DC-CO,1048576,40,5713.018125,0.661792
20,228,DS-CO,1048576,2,5702.896125,0.082542
20,228,SE-CO,1048576,40,5724.090542,0.674500
20,228,DC-ST,1048576,40,5701.343125,0.657584
20,228,DS-ST,1048576,41,5709.451667,0.700416
20,228,SE-ST,1048576,41,5701.660333,0.702791
22,92,DC-CO,4194304,57,33769.500959,2.063292
22,92,DS-CO,4194304,2,33749.146875,0.123625
22,92,SE-CO,4194304,24,33687.226958,0.878667
